"category_name","month","avg_review_score","total_reviews"
"cool_stuff","2018-05-01","4.14","174"
"cool_stuff","2018-06-01","4.29","98"
"cool_stuff","2018-07-01","4.36","107"
"cool_stuff","2018-08-01","4.07","117"
"costruction_tools_garden","2017-02-01","5.00","2"
"costruction_tools_garden","2017-04-01","4.38","8"
"costruction_tools_garden","2017-05-01","3.14","7"
"costruction_tools_garden","2017-06-01","4.75","4"
"costruction_tools_garden","2017-07-01","5.00","7"
"costruction_tools_garden","2017-08-01","3.90","10"
"costruction_tools_garden","2017-09-01","5.00","5"
"costruction_tools_garden","2017-10-01","4.00","9"
"costruction_tools_garden","2017-11-01","3.35","17"
"costruction_tools_garden","2017-12-01","4.17","6"
"costruction_tools_garden","2018-01-01","4.42","24"
"costruction_tools_garden","2018-02-01","4.35","20"
"costruction_tools_garden","2018-03-01","4.22","23"
"costruction_tools_garden","2018-04-01","4.60","15"
"costruction_tools_garden","2018-05-01","4.25","16"
"costruction_tools_garden","2018-06-01","4.40","10"
"costruction_tools_garden","2018-07-01","3.94","18"
"costruction_tools_garden","2018-08-01","3.52","23"
"costruction_tools_tools","2017-04-01","5.00","1"
"costruction_tools_tools","2017-05-01","5.00","2"
"costruction_tools_tools","2017-09-01","4.67","3"
"costruction_tools_tools","2017-10-01","4.60","5"
"costruction_tools_tools","2017-11-01","4.20","5"
"costruction_tools_tools","2017-12-01","4.00","6"
"costruction_tools_tools","2018-01-01","3.86","7"
"costruction_tools_tools","2018-02-01","4.40","10"
"costruction_tools_tools","2018-03-01","4.22","9"
"costruction_tools_tools","2018-04-01","4.35","17"
"costruction_tools_tools","2018-05-01","4.80","5"
"costruction_tools_tools","2018-06-01","5.00","4"
"costruction_tools_tools","2018-07-01","4.83","12"
"costruction_tools_tools","2018-08-01","4.46","13"
"diapers_and_hygiene","2016-10-01","5.00","1"
"diapers_and_hygiene","2017-12-01","1.00","2"
"diapers_and_hygiene","2018-01-01","1.00","5"
"diapers_and_hygiene","2018-02-01","3.00","4"
"diapers_and_hygiene","2018-03-01","3.00","5"
"diapers_and_hygiene","2018-04-01","4.25","4"
"diapers_and_hygiene","2018-05-01","4.67","3"
"diapers_and_hygiene","2018-06-01","4.14","7"
"diapers_and_hygiene","2018-07-01","4.00","3"
"diapers_and_hygiene","2018-08-01","4.67","3"
"drinks","2017-03-01","3.60","5"
"drinks","2017-05-01","5.00","1"
"drinks","2017-06-01","4.00","1"
"drinks","2017-07-01","4.00","3"
"drinks","2017-08-01","5.00","2"
"drinks","2017-09-01","4.83","6"
"drinks","2017-10-01","4.25","12"
"drinks","2017-11-01","4.11","18"
"drinks","2017-12-01","4.12","34"
"drinks","2018-01-01","4.10","50"
"drinks","2018-02-01","4.23","31"
"drinks","2018-03-01","3.95","21"
"drinks","2018-04-01","4.06","53"
"drinks","2018-05-01","4.04","45"
"drinks","2018-06-01","3.97","32"
"drinks","2018-07-01","4.77","13"
"drinks","2018-08-01","3.76","25"
"dvds_blu_ray","2017-01-01","5.00","2"
"dvds_blu_ray","2017-02-01","4.00","1"
"dvds_blu_ray","2017-03-01","3.75","4"
"dvds_blu_ray","2017-04-01","5.00","2"
"dvds_blu_ray","2017-05-01","4.75","4"
"dvds_blu_ray","2017-06-01","4.75","4"
"dvds_blu_ray","2017-07-01","3.33","3"
"dvds_blu_ray","2017-08-01","2.83","6"
"dvds_blu_ray","2017-09-01","4.50","2"
