"category_name","product_id","sales_volume","rank"
"industry_commerce_and_business","d04bbac48960ecb7ea311b00ca6e1cb7","39","1"
"industry_commerce_and_business","593236d0ff46b4299b4787fb8d43f7f0","35","2"
"industry_commerce_and_business","4cafc445fc7535c3b41b8978c0ce68dc","15","3"
"kitchen_dining_laundry_garden_furniture","c075b8e131353552218860f1c421e4ef","28","1"
"kitchen_dining_laundry_garden_furniture","261244fc4d0197d8772346872f5b0f5e","21","2"
"kitchen_dining_laundry_garden_furniture","18f6ea7e8cff29f8053baac6762449f9","20","3"
"la_cuisine","33900d427fa4bd3f509cdacda72e84a3","3","1"
"la_cuisine","d29534bc8c74cd3d91e0f175a5c9b366","2","2"
"la_cuisine","2365562e74dd46f5e99cdc696c504cea","2","2"
"luggage_accessories","f71973c922ccaab05514a36a8bc741b8","65","1"
"luggage_accessories","af51d485dc5255ba2e18b21b550156e6","55","2"
"luggage_accessories","c7b3cf9de7be95b3e09e7a63315685eb","38","3"
"market_place","8d1cfc0463b545928bfb4e589e017bd4","24","1"
"market_place","9af7b4a3262141c12ba9bd489a8573c7","14","2"
"market_place","c5d8b84a90f73bd09c30e71e76caaa11","14","2"
"music","4befae07dba4384f6d8237ad1e7f8294","4","1"
"music","d655dc03de9b831ed22639631ab2958f","3","2"
"music","2848023ffcfb063bb7aa0d0c447bd116","3","2"
"musical_instruments","738da8ddda2e593acfdc53c2d1520dfa","23","1"
"musical_instruments","44e086c4a977f37a888627b43880586c","18","2"
"musical_instruments","a5bbc554f75cf4afa2cd56791015ec27","18","2"
"office_furniture","8ed094bfe076c568f6bb10feada3f75d","70","1"
"office_furniture","3eef0cb94ba82de806bb30ab743c7655","59","2"
"office_furniture","a9516a079e37a9c9c36b9b78b10169e8","59","2"
"party_supplies","4a7056788ce9287c76ade358f2e2572a","8","1"
"party_supplies","137464dece73fa2dbb54658dbc7aae58","5","2"
"party_supplies","99b4596b82b6f75d453160c9c75e01f4","3","3"
"pc_gamer","0105b5323d24fc655f73052694dbbb3a","5","1"
"pc_gamer","6727051471a0fc4a0e7737b57bff2549","3","2"
"pc_gamer","dbe520fb381ad695a7e1f2807d20c765","1","3"
"perfumery","2028bf1b01cafb2d2b1901fca4083222","137","1"
"perfumery","595fac2a385ac33a80bd5114aec74eb8","105","2"
"perfumery","617186c3d97ea56c9c683a8a3974e8c1","95","3"
"pet_shop","a4aa7c1427c31344e5f7cc3d839fe562","42","1"
"pet_shop","e1da6ab77f4859eb17950e5df1c0f815","41","2"
"pet_shop","ca5c923962558430573f83661dbe36d6","37","3"
"portable_kitchen_and_food_preparers","c7a3f1a7f9eef146cc499368b578b884","3","1"
"portable_kitchen_and_food_preparers","7afdd65f79f63819ff5bee328843fa37","3","1"
"portable_kitchen_and_food_preparers","6fd83eb3e0799b775e4f946bd66657c0","2","3"
"security_and_services","6c7a0a349ad11817745e3ad58abd5c79","1","1"
"security_and_services","8db75af9aed3315374db44d7860e25da","1","1"
"signaling_and_security","150c699262a053229e89213dc9c358d2","11","1"
"signaling_and_security","0c8b6b6e4f9ee5fe2c48d6cee4c69bc8","9","2"
"signaling_and_security","7d8e924f1da646ec896e1c0a80ef2f99","8","3"
"small_appliances","79366d6a24de9351b7ca6e3cf75a68ec","26","1"
"small_appliances","63d6e7ab30f482382c9dfbbccae7da54","20","2"
"small_appliances","44fc450365728c413fefc547592626be","14","3"
"small_appliances","a5e537da8376b8623758e0186bfa400f","14","3"
"small_appliances_home_oven_and_coffee","f49e985b4cb2d0543890d6dd00077663","19","1"
"small_appliances_home_oven_and_coffee","ff92ca9bb0b3f4ec00a9b76c9f68cb3a","7","2"
"small_appliances_home_oven_and_coffee","0433830caca22b01a0f477d31307b043","7","2"
"sports_leisure","c6336fa91fbd87c359e44f5dca5a90ed","94","1"
"sports_leisure","e44f675b60b3a3a2453ec36421e06f0f","84","2"
"sports_leisure","362b773250263786dd58670d2df42c3b","73","3"
"stationery","fb55982be901439613a95940feefd9ee","84","1"
"stationery","5411e9269501a870cabf632f05655131","77","2"
"stationery","e03102efbc2229024c89be731f0aedcb","53","3"
"tablets_printing_image","6bbe55cf8f85c87b6eebb775a53402f4","33","1"
"tablets_printing_image","34dabb8af33b3756cf72df05fb327011","20","2"
"tablets_printing_image","2eb9b2ef7c1da3c7b99702452ea4729f","17","3"
"telephony","e7cc48a9daff5436f63d3aad9426f28b","93","1"
"telephony","c9c6fde711572c1ad99ca12728c6af00","74","2"
"telephony","97017430754804328eb9597b7f85da03","68","3"
"toys","880be32f4db1d9f6e2bec38fb6ac23ab","99","1"
"toys","b5e13c9a353102f79c6206ff5cb61a50","91","2"
"toys","b623b7cb05ee3248fbe4a6ecbeed79a4","66","3"
"watches_gifts","53b36df67ebb7c41585e8d54d6772e08","315","1"
"watches_gifts","a62e25e09e05e6faf31d90c6ec1aa3d1","226","2"
"watches_gifts","e0d64dcfaa3b6db5c54ca298ae101d05","194","3"
